Aggregate with Dmax= 1026.64 and aeff= 211.234
4935  = NAT
1.000	0.000	0.000	= target vector a1 (in TF)
0.000	1.000	0.000	= target vector a1 (in TF)
1.	1.	1.	= d_x/d d_y/d d_z/d (normally 1 1 1)
J	JX	JY	JZ	ICMPX	ICMPY	ICMPZ
675   1  -1  -6   1   1   1
676   5  -1  -5   1   1   1
677   5  -0  -5   1   1   1
678   7  -3  -4   1   1   1
679   5   5   1   1   1   1
680   2   7  -4   1   1   1
681   8  -4  -3   1   1   1
682  -8   8  -1   1   1   1
683  -7   7  -2   1   1   1
684   0   3  -1   1   1   1
685   0   4  -2   1   1   1
686   0   5  -2   1   1   1
687   9  -1  -4   1   1   1
688  -8   8  -2   1   1   1
689  -8   9  -2   1   1   1
690  -9   9  -2   1   1   1
691   2   4  -7   1   1   1
692   2   4  -8   1   1   1
693   1   5  -6   1   1   1
694   1   5  -7   1   1   1
695   1   5  -8   1   1   1
696   2   5  -7   1   1   1
697   2   5  -8   1   1   1
698   3   5  -6   1   1   1
699   3   5  -7   1   1   1
700   3   5  -8   1   1   1
701   2   6  -6   1   1   1
702   2   6  -7   1   1   1
703   1   6  -8   1   1   1
704   1   1  -9   1   1   1
705   1  -0  -9   1   1   1
706   1  -1 -10   1   1   1
707   2   2  -3   1   1   1
708   3  -3  -7   1   1   1
709   3  -4  -2   1   1   1
710  12  -2  -2   1   1   1
711   7  -2  -1   1   1   1
712  11   1   2   1   1   1
713   5   6  -6   1   1   1
714   6   6  -7   1   1   1
715   6   6  -8   1   1   1
716   4   6  -6   1   1   1
717   5   6  -7   1   1   1
718   5   6  -8   1   1   1
719   3   6  -6   1   1   1
720   4   6  -7   1   1   1
721   4   6  -8   1   1   1
722   6   5  -0   1   1   1
723   2   6  -2   1   1   1
724  -3   6  -1   1   1   1
725  -3   7  -1   1   1   1
726  -3   8  -1   1   1   1
727  -2   6  -1   1   1   1
728  -2   7  -1   1   1   1
729  -1   6  -1   1   1   1
730  -1   7  -1   1   1   1
731   7  -4  -5   1   1   1
732  -0  -1  -8   1   1   1
733  -2   2  -5   1   1   1
734  -0   5  -8   1   1   1
735  -8   1  -3   1   1   1
736  -1  -6 -12   1   1   1
737  -1  -6 -11   1   1   1
738  -1  -5 -10   1   1   1
739  -2  -6 -12   1   1   1
740  -2  -5 -11   1   1   1
741  -3  -5 -12   1   1   1
742  -3  -5 -11   1   1   1
743  -2  -4 -10   1   1   1
744   3   3   7   1   1   1
745  11  -3  -0   1   1   1
746  -2  -5   1   1   1   1
747  -2  -6   2   1   1   1
748  -2  -6   3   1   1   1
749  -2  -5   2   1   1   1
750  -2  -5   3   1   1   1
751  -3  -6   3   1   1   1
752  -2  -4   2   1   1   1
753  -3  -4   3   1   1   1
754  -3  -5   4   1   1   1
755  -2   2   0   1   1   1
756  -7  -2   1   1   1   1
757  -7  -2   2   1   1   1
758  -7  -2   3   1   1   1
759  -7  -1   4   1   1   1
760  -7  -1   5   1   1   1
761  -7  -1   6   1   1   1
762  -7  -1   7   1   1   1
763  -8  -2   1   1   1   1
764  -8  -2   2   1   1   1
765  -8  -2   3   1   1   1
766  -9  -2   4   1   1   1
767  -9  -1   5   1   1   1
768  -9  -1   6   1   1   1
769  -9  -1   7   1   1   1
770  -8  -3   1   1   1   1
771  -8  -2   4   1   1   1
772  -8  -2   5   1   1   1
773  -8  -2   6   1   1   1
774  -8  -2   7   1   1   1
775  -7  -3   1   1   1   1
776  -7  -3   2   1   1   1
777  -7  -3   3   1   1   1
778  -7  -3   4   1   1   1
779  -7  -3   5   1   1   1
780  -7  -3   6   1   1   1
781  -7  -2   7   1   1   1
782  -9  -3   1   1   1   1
783  -9  -3   2   1   1   1
784  -9  -2   3   1   1   1
785  -9  -2   5   1   1   1
786  -9  -2   6   1   1   1
787  -9  -2   7   1   1   1
788  -8  -3   2   1   1   1
789  -8  -3   3   1   1   1
790  -8  -3   4   1   1   1
791  -8  -3   5   1   1   1
792  -9  -3   6   1   1   1
793  -9  -3   7   1   1   1
794  -7  -4   1   1   1   1
795  -8  -4   2   1   1   1
796  -8  -4   3   1   1   1
797  -8  -4   4   1   1   1
798  -8  -3   6   1   1   1
799  -8  -3   7   1   1   1
800 -10  -4   1   1   1   1
801 -10  -3   2   1   1   1
802 -10  -3   3   1   1   1
803 -10  -3   4   1   1   1
804 -10  -3   5   1   1   1
805 -10  -3   6   1   1   1
806 -10  -3   7   1   1   1
807  -9  -4   1   1   1   1
808  -9  -4   2   1   1   1
809  -9  -4   3   1   1   1
810  -9  -4   4   1   1   1
811  -9  -4   5   1   1   1
812  -8  -5   1   1   1   1
813  -8  -5   2   1   1   1
814  -8  -5   3   1   1   1
815  -8  -4   5   1   1   1
816  -8  -4   6   1   1   1
817  -8  -4   7   1   1   1
818  -9  -5   1   1   1   1
819 -10  -5   2   1   1   1
820 -10  -5   3   1   1   1
821 -10  -4   4   1   1   1
822 -10  -4   5   1   1   1
823 -10  -4   6   1   1   1
824 -10  -4   7   1   1   1
825  -4  -5  -1   1   1   1
826 -10  10  -2   1   1   1
827  -9   7  -2   1   1   1
828 -10   8  -2   1   1   1
829 -11   8  -2   1   1   1
830  -9   8  -1   1   1   1
831 -10   9  -1   1   1   1
832  -9   9  -1   1   1   1
